utla,msoa,utla_name
E09000001,E02000001,City of London
E09000002,E02000002,Barking and Dagenham
E09000002,E02000003,Barking and Dagenham
E09000002,E02000004,Barking and Dagenham
E09000002,E02000005,Barking and Dagenham
E09000002,E02000007,Barking and Dagenham
E09000002,E02000008,Barking and Dagenham
E09000002,E02000009,Barking and Dagenham
E09000002,E02000010,Barking and Dagenham
E09000002,E02000011,Barking and Dagenham
E09000002,E02000012,Barking and Dagenham
E09000002,E02000013,Barking and Dagenham
E09000002,E02000014,Barking and Dagenham
E09000002,E02000015,Barking and Dagenham
E09000002,E02000016,Barking and Dagenham
E09000002,E02000017,Barking and Dagenham
E09000002,E02000018,Barking and Dagenham
E09000002,E02000019,Barking and Dagenham
E09000002,E02000020,Barking and Dagenham
E09000002,E02000021,Barking and Dagenham
E09000002,E02000022,Barking and Dagenham
E09000002,E02000023,Barking and Dagenham
E09000003,E02000024,Barnet
E09000003,E02000025,Barnet
E09000003,E02000026,Barnet
E09000003,E02000027,Barnet
E09000003,E02000028,Barnet
E09000003,E02000029,Barnet
E09000003,E02000030,Barnet
E09000003,E02000031,Barnet
E09000003,E02000032,Barnet
E09000003,E02000033,Barnet
E09000003,E02000034,Barnet
E09000003,E02000035,Barnet
E09000003,E02000036,Barnet
E09000003,E02000037,Barnet
E09000003,E02000038,Barnet
E09000003,E02000039,Barnet
E09000003,E02000040,Barnet
E09000003,E02000041,Barnet
E09000003,E02000042,Barnet
E09000003,E02000043,Barnet
E09000003,E02000044,Barnet
E09000003,E02000045,Barnet
E09000003,E02000046,Barnet
E09000003,E02000047,Barnet
E09000003,E02000048,Barnet
E09000003,E02000049,Barnet
E09000003,E02000050,Barnet
E09000003,E02000051,Barnet
E09000003,E02000052,Barnet
E09000003,E02000053,Barnet
E09000003,E02000054,Barnet
E09000003,E02000055,Barnet
E09000003,E02000056,Barnet
E09000003,E02000057,Barnet
E09000003,E02000058,Barnet
E09000003,E02000059,Barnet
E09000003,E02000060,Barnet
E09000003,E02000061,Barnet
E09000003,E02000062,Barnet
E09000003,E02000063,Barnet
E09000003,E02000064,Barnet
E09000004,E02000065,Bexley
E09000004,E02000066,Bexley
E09000004,E02000067,Bexley
E09000004,E02000068,Bexley
E09000004,E02000069,Bexley
E09000004,E02000070,Bexley
E09000004,E02000071,Bexley
E09000004,E02000072,Bexley
E09000004,E02000073,Bexley
E09000004,E02000074,Bexley
E09000004,E02000075,Bexley
E09000004,E02000077,Bexley
E09000004,E02000078,Bexley
E09000004,E02000079,Bexley
E09000004,E02000080,Bexley
E09000004,E02000081,Bexley
E09000004,E02000082,Bexley
E09000004,E02000083,Bexley
E09000004,E02000084,Bexley
E09000004,E02000085,Bexley
E09000004,E02000086,Bexley
E09000004,E02000087,Bexley
E09000004,E02000088,Bexley
E09000004,E02000089,Bexley
E09000004,E02000090,Bexley
E09000004,E02000091,Bexley
E09000004,E02000092,Bexley
E09000005,E02000093,Brent
E09000005,E02000094,Brent
E09000005,E02000095,Brent
E09000005,E02000096,Brent
E09000005,E02000097,Brent
E09000005,E02000098,Brent
E09000005,E02000099,Brent
E09000005,E02000100,Brent
E09000005,E02000101,Brent
E09000005,E02000102,Brent
E09000005,E02000103,Brent
E09000005,E02000104,Brent
E09000005,E02000105,Brent
E09000005,E02000106,Brent
E09000005,E02000107,Brent
E09000005,E02000108,Brent
E09000005,E02000109,Brent
